<DATE>;COPPER
24.03.2022;10415.774435
25.03.2022;10339.7147
27.03.2022;10318.770715
27.03.2022;10410.26286
29.03.2022;10491.83417
30.03.2022;10463.17398
31.03.2022;10442.229995
01.04.2022;10373.886465
03.04.2022;10366.17026
04.04.2022;10553.56381
05.04.2022;10491.83417
06.04.2022;10397.03508
07.04.2022;10389.318875
08.04.2022;10425.69527
10.04.2022;10423.49064
11.04.2022;10215.153105
12.04.2022;10365.067945
13.04.2022;10377.19341
14.04.2022;10406.955915
17.04.2022;10456.56009
18.04.2022;10588.83789
19.04.2022;10369.477205
20.04.2022;10283.496635
21.04.2022;10328.69155
22.04.2022;10099.41003
24.04.2022;10109.330865
25.04.2022;9881.15166
26.04.2022;9708.088205
27.04.2022;9794.068775
28.04.2022;9776.431735
29.04.2022;9673.91644
01.05.2022;9687.14422
02.05.2022;9456.760385
03.05.2022;9490.93215
04.05.2022;9635.335415
05.05.2022;9472.192795
06.05.2022;9366.370555
08.05.2022;9327.78953
09.05.2022;9249.525165
10.05.2022;9184.48858
11.05.2022;9288.10619
12.05.2022;9027.95985
13.05.2022;9183.386265
15.05.2022;9221.96729
16.05.2022;9279.28767
17.05.2022;9334.40342
18.05.2022;9162.44228
19.05.2022;9420.38399
20.05.2022;9485.420575
22.05.2022;9516.285395
23.05.2022;9540.536325
24.05.2022;9509.671505
25.05.2022;9421.486305
26.05.2022;9412.667785
27.05.2022;9527.308545
29.05.2022;9522.899285
30.05.2022;9565.88957
31.05.2022;9449.04418
01.06.2022;9527.308545
02.06.2022;10050.90817
03.06.2022;9876.7424
05.06.2022;9828.24054
06.06.2022;9759.89701
07.06.2022;9809.501185
08.06.2022;9799.58035
09.06.2022;9603.36828
10.06.2022;9436.918715
12.06.2022;9324.482585
13.06.2022;9268.26452
14.06.2022;9123.861255
15.06.2022;9206.53488
16.06.2022;9029.062165
17.06.2022;8840.5663
19.06.2022;8900.09131
20.06.2022;8836.15704
21.06.2022;8871.43112
22.06.2022;8658.684325
23.06.2022;8277.283335
24.06.2022;8243.11157
26.06.2022;8305.943525
27.06.2022;8266.260185
28.06.2022;8280.59028
29.06.2022;8332.399085
30.06.2022;8116.345345
01.07.2022;7969.73745
03.07.2022;7982.96523
04.07.2022;7902.496235
05.07.2022;7580.620255
06.07.2022;7577.31331
07.07.2022;7817.61798
08.07.2022;7760.2976
10.07.2022;7658.88462
11.07.2022;7534.323025
12.07.2022;7181.582225
13.07.2022;7290.71141
14.07.2022;7126.466475
15.07.2022;7155.126665
17.07.2022;7172.763705
18.07.2022;7302.836875
19.07.2022;7277.48363
20.07.2022;7302.836875
21.07.2022;7295.12067
22.07.2022;7325.98549
24.07.2022;7335.906325
25.07.2022;7399.840595
26.07.2022;7497.94663
27.07.2022;7659.986935
28.07.2022;7700.77259
29.07.2022;7924.542535
31.07.2022;7838.561965
01.08.2022;7795.57168
02.08.2022;7655.577675
03.08.2022;7656.67999
04.08.2022;7672.1124
05.08.2022;7825.334185
07.08.2022;7804.3902
08.08.2022;7904.700865
09.08.2022;7904.700865
10.08.2022;8024.8532
11.08.2022;8143.90322
12.08.2022;8110.83377
14.08.2022;8077.76432
15.08.2022;7935.565685
16.08.2022;7988.476805
17.08.2022;7905.80318
18.08.2022;8025.955515
19.08.2022;8098.708305
21.08.2022;8066.74117
22.08.2022;8061.229595
23.08.2022;8118.549975
24.08.2022;8020.44394
25.08.2022;8145.005535
26.08.2022;8150.51711
28.08.2022;8064.53654
29.08.2022;7949.89578
30.08.2022;7831.948075
31.08.2022;7737.148985
01.09.2022;7527.709135
02.09.2022;7497.94663
04.09.2022;7453.85403
05.09.2022;7634.63369
06.09.2022;7615.894335
07.09.2022;7598.257295
08.09.2022;7845.175855
09.09.2022;7831.948075
11.09.2022;7829.743445
12.09.2022;7976.35134
13.09.2022;7786.75316
14.09.2022;7759.195285
15.09.2022;7629.122115
16.09.2022;7811.00409
18.09.2022;7816.515665
19.09.2022;7777.93464
20.09.2022;7714.00037
21.09.2022;7570.69942
22.09.2022;7637.940635
23.09.2022;7382.203555
25.09.2022;7383.30587
