<DATE>;USDRUB
24.03.2022;102.2056
25.03.2022;101.25
27.03.2022;100.9007
28.03.2022;95.75
29.03.2022;85
30.03.2022;83.4701
31.03.2022;81.7081
01.04.2022;85
03.04.2022;82.75
04.04.2022;82.25
05.04.2022;83.9925
06.04.2022;82.115
07.04.2022;78.5
08.04.2022;79.5
10.04.2022;80.25
11.04.2022;82.75
12.04.2022;85.3625
13.04.2022;81.925
14.04.2022;81.875
15.04.2022;82.75
17.04.2022;82.75
18.04.2022;80.375
19.04.2022;80.9679
20.04.2022;82.25
21.04.2022;80.8626
22.04.2022;76.625
24.04.2022;76.625
25.04.2022;75.025
26.04.2022;74.875
27.04.2022;73.881
28.04.2022;72.7522
29.04.2022;70.6
02.05.2022;70.5608
03.05.2022;68.2539
04.05.2022;65.375
05.05.2022;64.075
06.05.2022;67.5
09.05.2022;68.95
10.05.2022;68.75
11.05.2022;66
12.05.2022;65.1145
13.05.2022;64.5
16.05.2022;63.875
17.05.2022;64.25
18.05.2022;63.5
19.05.2022;62.1176
20.05.2022;61.25
22.05.2022;60.8394
23.05.2022;58.5856
24.05.2022;56.375
25.05.2022;60.2
26.05.2022;64
27.05.2022;65.75
29.05.2022;65.75
30.05.2022;63.75
31.05.2022;62
01.06.2022;63.4823
02.06.2022;62.75
03.06.2022;62.61
05.06.2022;63
06.06.2022;61.3812
07.06.2022;61
08.06.2022;60.74
09.06.2022;58.0124
10.06.2022;55.125
12.06.2022;57.5
13.06.2022;57.4804
14.06.2022;58.3542
15.06.2022;57.2212
16.06.2022;58.5348
17.06.2022;56.5
19.06.2022;56
20.06.2022;54
21.06.2022;53.125
22.06.2022;54
23.06.2022;54.4869
24.06.2022;53.6
26.06.2022;53.3708
27.06.2022;53.1
28.06.2022;53
29.06.2022;51.9783
30.06.2022;54.125
01.07.2022;55.25
03.07.2022;53.9495
04.07.2022;56.25
05.07.2022;61.75
06.07.2022;62.8
07.07.2022;63.0679
08.07.2022;63
10.07.2022;64.9074
11.07.2022;64.25
12.07.2022;58.4195
13.07.2022;58.4568
14.07.2022;58.2678
15.07.2022;55.5
17.07.2022;55.5
18.07.2022;57.0075
19.07.2022;56.4543
20.07.2022;54.25
21.07.2022;58.0053
22.07.2022;57.925
24.07.2022;58.0948
25.07.2022;57.75
26.07.2022;60.0473
27.07.2022;59.3575
28.07.2022;61.75
29.07.2022;61.5
31.07.2022;61.5
01.08.2022;60.75
02.08.2022;59.375
03.08.2022;60.86
04.08.2022;61.8456
05.08.2022;60.5349
07.08.2022;60.5153
08.08.2022;61.125
09.08.2022;60.4649
10.08.2022;61.5024
11.08.2022;60.6188
12.08.2022;60.75
14.08.2022;61.5011
15.08.2022;61.4846
16.08.2022;61.4873
17.08.2022;60.4716
18.08.2022;59.9819
19.08.2022;58.75
21.08.2022;59.4858
22.08.2022;60.1236
23.08.2022;59.5
24.08.2022;59.8105
25.08.2022;60.15
26.08.2022;59.55
28.08.2022;60.2923
29.08.2022;61.75
30.08.2022;59.9679
31.08.2022;59.375
01.09.2022;59.46
02.09.2022;60.2562
04.09.2022;60.2988
05.09.2022;60.9478
06.09.2022;61.2743
07.09.2022;62.285
08.09.2022;61.4778
09.09.2022;59.78
11.09.2022;60.0713
12.09.2022;59.32
13.09.2022;61.735
14.09.2022;59.7118
15.09.2022;59.6139
16.09.2022;59.75
19.09.2022;60.07
20.09.2022;61.4148
21.09.2022;61.5692
22.09.2022;59.8969
23.09.2022;56.87
25.09.2022;56.5
26.09.2022;58.535
27.09.2022;58.15
28.09.2022;57.934
29.09.2022;56.75
30.09.2022;59.2
02.10.2022;60.2238
03.10.2022;58.0211
04.10.2022;59.0165
05.10.2022;60
06.10.2022;60.75
07.10.2022;60.95
10.10.2022;62
11.10.2022;65.4302
12.10.2022;63.8
13.10.2022;63.95
14.10.2022;61.9
16.10.2022;61.15
17.10.2022;61.05
18.10.2022;60.5
19.10.2022;61.85
20.10.2022;61.5
21.10.2022;60.65
24.10.2022;61
25.10.2022;60.25
26.10.2022;61.25
27.10.2022;61.3
28.10.2022;61.5
30.10.2022;61.5
31.10.2022;61
01.11.2022;61.75
02.11.2022;60.7
03.11.2022;61.35
04.11.2022;61.9
06.11.2022;60.95
07.11.2022;61.4
08.11.2022;59.6
09.11.2022;61.55
10.11.2022;59.75
11.11.2022;59.55
13.11.2022;59.55
14.11.2022;60.375
15.11.2022;61.3
16.11.2022;59.775
17.11.2022;59.525
18.11.2022;59.46
20.11.2022;59.85
21.11.2022;60.56
22.11.2022;60.65
23.11.2022;59.8
24.11.2022;60.35
25.11.2022;59.75
28.11.2022;59.96
29.11.2022;60.83
30.11.2022;60.025
01.12.2022;61.2
02.12.2022;61.575
04.12.2022;61.5
05.12.2022;61.625
06.12.2022;62.4
07.12.2022;62.547
08.12.2022;62.4
09.12.2022;62.5
11.12.2022;62.5
12.12.2022;61.66
13.12.2022;63.2
14.12.2022;64.747
