<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,24/03/22,030000,102.2056
USDRUB,D,25/03/22,030000,101.25
USDRUB,D,27/03/22,030000,100.9007
USDRUB,D,28/03/22,030000,95.75
USDRUB,D,29/03/22,030000,85
USDRUB,D,30/03/22,030000,83.4701
USDRUB,D,31/03/22,030000,81.7081
USDRUB,D,01/04/22,030000,85
USDRUB,D,03/04/22,030000,82.75
USDRUB,D,04/04/22,030000,82.25
USDRUB,D,05/04/22,030000,83.9925
USDRUB,D,06/04/22,030000,82.115
USDRUB,D,07/04/22,030000,78.5
USDRUB,D,08/04/22,030000,79.5
USDRUB,D,10/04/22,030000,80.25
USDRUB,D,11/04/22,030000,82.75
USDRUB,D,12/04/22,030000,85.3625
USDRUB,D,13/04/22,030000,81.925
USDRUB,D,14/04/22,030000,81.875
USDRUB,D,15/04/22,030000,82.75
USDRUB,D,17/04/22,030000,82.75
USDRUB,D,18/04/22,030000,80.375
USDRUB,D,19/04/22,030000,80.9679
USDRUB,D,20/04/22,030000,82.25
USDRUB,D,21/04/22,030000,80.8626
USDRUB,D,22/04/22,030000,76.625
USDRUB,D,24/04/22,030000,76.625
USDRUB,D,25/04/22,030000,75.025
USDRUB,D,26/04/22,030000,74.875
USDRUB,D,27/04/22,030000,73.881
USDRUB,D,28/04/22,030000,72.7522
USDRUB,D,29/04/22,030000,70.6
USDRUB,D,02/05/22,030000,70.5608
USDRUB,D,03/05/22,030000,68.2539
USDRUB,D,04/05/22,030000,65.375
USDRUB,D,05/05/22,030000,64.075
USDRUB,D,06/05/22,030000,67.5
USDRUB,D,09/05/22,030000,68.95
USDRUB,D,10/05/22,030000,68.75
USDRUB,D,11/05/22,030000,66
USDRUB,D,12/05/22,030000,65.1145
USDRUB,D,13/05/22,030000,64.5
USDRUB,D,16/05/22,030000,63.875
USDRUB,D,17/05/22,030000,64.25
USDRUB,D,18/05/22,030000,63.5
USDRUB,D,19/05/22,030000,62.1176
USDRUB,D,20/05/22,030000,61.25
USDRUB,D,22/05/22,030000,60.8394
USDRUB,D,23/05/22,030000,58.5856
USDRUB,D,24/05/22,030000,56.375
USDRUB,D,25/05/22,030000,60.2
USDRUB,D,26/05/22,030000,64
USDRUB,D,27/05/22,030000,65.75
USDRUB,D,29/05/22,030000,65.75
USDRUB,D,30/05/22,030000,63.75
USDRUB,D,31/05/22,030000,62
USDRUB,D,01/06/22,030000,63.4823
USDRUB,D,02/06/22,030000,62.75
USDRUB,D,03/06/22,030000,62.61
USDRUB,D,05/06/22,030000,63
USDRUB,D,06/06/22,030000,61.3812
USDRUB,D,07/06/22,030000,61
USDRUB,D,08/06/22,030000,60.74
USDRUB,D,09/06/22,030000,58.0124
USDRUB,D,10/06/22,030000,55.125
USDRUB,D,12/06/22,030000,57.5
USDRUB,D,13/06/22,030000,57.4804
USDRUB,D,14/06/22,030000,58.3542
USDRUB,D,15/06/22,030000,57.2212
USDRUB,D,16/06/22,030000,58.5348
USDRUB,D,17/06/22,030000,56.5
USDRUB,D,19/06/22,030000,56
USDRUB,D,20/06/22,030000,54
USDRUB,D,21/06/22,030000,53.125
USDRUB,D,22/06/22,030000,54
USDRUB,D,23/06/22,030000,54.4869
USDRUB,D,24/06/22,030000,53.6
USDRUB,D,26/06/22,030000,53.3708
USDRUB,D,27/06/22,030000,53.1
USDRUB,D,28/06/22,030000,53
USDRUB,D,29/06/22,030000,51.9783
USDRUB,D,30/06/22,030000,54.125
USDRUB,D,01/07/22,030000,55.25
USDRUB,D,03/07/22,030000,53.9495
USDRUB,D,04/07/22,030000,56.25
USDRUB,D,05/07/22,030000,61.75
USDRUB,D,06/07/22,030000,62.8
USDRUB,D,07/07/22,030000,63.0679
USDRUB,D,08/07/22,030000,63
USDRUB,D,10/07/22,030000,64.9074
USDRUB,D,11/07/22,030000,64.25
USDRUB,D,12/07/22,030000,58.4195
USDRUB,D,13/07/22,030000,58.4568
USDRUB,D,14/07/22,030000,58.2678
USDRUB,D,15/07/22,030000,55.5
USDRUB,D,17/07/22,030000,55.5
USDRUB,D,18/07/22,030000,57.0075
USDRUB,D,19/07/22,030000,56.4543
USDRUB,D,20/07/22,030000,54.25
USDRUB,D,21/07/22,030000,58.0053
USDRUB,D,22/07/22,030000,57.925
USDRUB,D,24/07/22,030000,58.0948
USDRUB,D,25/07/22,030000,57.75
USDRUB,D,26/07/22,030000,60.0473
USDRUB,D,27/07/22,030000,59.3575
USDRUB,D,28/07/22,030000,61.75
USDRUB,D,29/07/22,030000,61.5
USDRUB,D,31/07/22,030000,61.5
USDRUB,D,01/08/22,030000,60.75
USDRUB,D,02/08/22,030000,59.375
USDRUB,D,03/08/22,030000,60.86
USDRUB,D,04/08/22,030000,61.8456
USDRUB,D,05/08/22,030000,60.5349
USDRUB,D,07/08/22,030000,60.5153
USDRUB,D,08/08/22,030000,61.125
USDRUB,D,09/08/22,030000,60.4649
USDRUB,D,10/08/22,030000,61.5024
USDRUB,D,11/08/22,030000,60.6188
USDRUB,D,12/08/22,030000,60.75
USDRUB,D,14/08/22,030000,61.5011
USDRUB,D,15/08/22,030000,61.4846
USDRUB,D,16/08/22,030000,61.4873
USDRUB,D,17/08/22,030000,60.4716
USDRUB,D,18/08/22,030000,59.9819
USDRUB,D,19/08/22,030000,58.75
USDRUB,D,21/08/22,030000,59.4858
USDRUB,D,22/08/22,030000,60.1236
USDRUB,D,23/08/22,030000,59.5
USDRUB,D,24/08/22,030000,59.8105
USDRUB,D,25/08/22,030000,60.15
USDRUB,D,26/08/22,030000,59.55
USDRUB,D,28/08/22,030000,60.2923
USDRUB,D,29/08/22,030000,61.75
USDRUB,D,30/08/22,030000,59.9679
USDRUB,D,31/08/22,030000,59.375
USDRUB,D,01/09/22,030000,59.46
USDRUB,D,02/09/22,030000,60.2562
USDRUB,D,04/09/22,030000,60.2988
USDRUB,D,05/09/22,030000,60.9478
USDRUB,D,06/09/22,030000,61.2743
USDRUB,D,07/09/22,030000,62.285
USDRUB,D,08/09/22,030000,61.4778
USDRUB,D,09/09/22,030000,59.78
USDRUB,D,11/09/22,030000,60.0713
USDRUB,D,12/09/22,030000,59.32
USDRUB,D,13/09/22,030000,61.735
USDRUB,D,14/09/22,030000,59.7118
USDRUB,D,15/09/22,030000,59.6139
USDRUB,D,16/09/22,030000,59.75
USDRUB,D,19/09/22,030000,60.07
USDRUB,D,20/09/22,030000,61.4148
USDRUB,D,21/09/22,030000,61.5692
USDRUB,D,22/09/22,030000,59.8969
USDRUB,D,23/09/22,030000,56.87
USDRUB,D,25/09/22,030000,56.5
USDRUB,D,26/09/22,030000,58.535
USDRUB,D,27/09/22,030000,58.15
USDRUB,D,28/09/22,030000,57.934
USDRUB,D,29/09/22,030000,56.75
USDRUB,D,30/09/22,030000,59.2
USDRUB,D,02/10/22,030000,60.2238
USDRUB,D,03/10/22,030000,58.0211
USDRUB,D,04/10/22,030000,59.0165
USDRUB,D,05/10/22,030000,60
USDRUB,D,06/10/22,030000,60.75
USDRUB,D,07/10/22,030000,60.95
USDRUB,D,10/10/22,030000,62
USDRUB,D,11/10/22,030000,65.4302
USDRUB,D,12/10/22,030000,63.8
USDRUB,D,13/10/22,030000,63.95
USDRUB,D,14/10/22,030000,61.9
USDRUB,D,16/10/22,030000,61.15
USDRUB,D,17/10/22,030000,61.05
USDRUB,D,18/10/22,030000,60.5
USDRUB,D,19/10/22,030000,61.85
USDRUB,D,20/10/22,030000,61.5
USDRUB,D,21/10/22,030000,60.65
USDRUB,D,24/10/22,030000,61
USDRUB,D,25/10/22,030000,60.25
USDRUB,D,26/10/22,030000,61.25
USDRUB,D,27/10/22,030000,61.3
USDRUB,D,28/10/22,030000,61.5
USDRUB,D,30/10/22,030000,61.5
USDRUB,D,31/10/22,030000,61
USDRUB,D,01/11/22,030000,61.75
USDRUB,D,02/11/22,030000,60.7
USDRUB,D,03/11/22,030000,61.35
USDRUB,D,04/11/22,030000,61.9
USDRUB,D,06/11/22,030000,60.95
USDRUB,D,07/11/22,030000,61.4
USDRUB,D,08/11/22,030000,59.6
USDRUB,D,09/11/22,030000,61.55
USDRUB,D,10/11/22,030000,59.75
USDRUB,D,11/11/22,030000,59.55
USDRUB,D,13/11/22,030000,59.55
USDRUB,D,14/11/22,030000,60.375
USDRUB,D,15/11/22,030000,61.3
USDRUB,D,16/11/22,030000,59.775
USDRUB,D,17/11/22,030000,59.525
USDRUB,D,18/11/22,030000,59.46
USDRUB,D,20/11/22,030000,59.85
USDRUB,D,21/11/22,030000,60.56
USDRUB,D,22/11/22,030000,60.65
USDRUB,D,23/11/22,030000,59.8
USDRUB,D,24/11/22,030000,60.35
USDRUB,D,25/11/22,030000,59.75
USDRUB,D,28/11/22,030000,59.96
USDRUB,D,29/11/22,030000,60.83
USDRUB,D,30/11/22,030000,60.025
USDRUB,D,01/12/22,030000,61.2
USDRUB,D,02/12/22,030000,61.575
USDRUB,D,04/12/22,030000,61.5
USDRUB,D,05/12/22,030000,61.625
USDRUB,D,06/12/22,030000,62.4
USDRUB,D,07/12/22,030000,62.547
USDRUB,D,08/12/22,030000,62.4
USDRUB,D,09/12/22,030000,62.5
USDRUB,D,11/12/22,030000,62.5
USDRUB,D,12/12/22,030000,61.66
USDRUB,D,13/12/22,030000,63.2
USDRUB,D,14/12/22,030000,64.747
USDRUB,D,15/12/22,030000,63.65
USDRUB,D,16/12/22,030000,63.875
USDRUB,D,18/12/22,030000,64
USDRUB,D,19/12/22,030000,66
USDRUB,D,20/12/22,030000,69.25
USDRUB,D,21/12/22,030000,69.5
USDRUB,D,22/12/22,030000,67
USDRUB,D,23/12/22,030000,68
USDRUB,D,26/12/22,030000,68.33
USDRUB,D,27/12/22,030000,69
USDRUB,D,28/12/22,030000,71.75
USDRUB,D,29/12/22,030000,73
USDRUB,D,30/12/22,030000,72
USDRUB,D,01/01/23,030000,73.65
USDRUB,D,02/01/23,030000,71.0007
USDRUB,D,03/01/23,030000,73.0482
USDRUB,D,04/01/23,030000,71.4959
USDRUB,D,05/01/23,030000,72.147
USDRUB,D,06/01/23,030000,71.48
USDRUB,D,08/01/23,030000,72.429
USDRUB,D,09/01/23,030000,69.88
USDRUB,D,10/01/23,030000,69.6736
USDRUB,D,11/01/23,030000,68.3025
USDRUB,D,12/01/23,030000,67.7804
USDRUB,D,13/01/23,030000,68.9958
USDRUB,D,15/01/23,030000,68.976
USDRUB,D,16/01/23,030000,68.7576
USDRUB,D,17/01/23,030000,68.5147
USDRUB,D,18/01/23,030000,68.7422
USDRUB,D,19/01/23,030000,69.394
USDRUB,D,20/01/23,030000,69.101
USDRUB,D,22/01/23,030000,69.0411
USDRUB,D,23/01/23,030000,68.75
USDRUB,D,24/01/23,030000,69.4476
