<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BZ,D,24/03/22,030000,118.2
BZ,D,25/03/22,030000,119.98
BZ,D,27/03/22,030000,114.12
BZ,D,28/03/22,030000,106.6
BZ,D,29/03/22,030000,108.56
BZ,D,30/03/22,030000,111
BZ,D,31/03/22,030000,105.65
BZ,D,01/04/22,030000,104.75
BZ,D,03/04/22,030000,103.54
BZ,D,04/04/22,030000,107.98
BZ,D,05/04/22,030000,105.68
BZ,D,06/04/22,030000,101.65
BZ,D,07/04/22,030000,101.41
BZ,D,08/04/22,030000,102.4
BZ,D,10/04/22,030000,101.28
BZ,D,11/04/22,030000,99.35
BZ,D,12/04/22,030000,104.93
BZ,D,13/04/22,030000,108.88
BZ,D,14/04/22,030000,111.66
BZ,D,17/04/22,030000,113.2
BZ,D,18/04/22,030000,112.84
BZ,D,19/04/22,030000,107.6
BZ,D,20/04/22,030000,107.23
BZ,D,21/04/22,030000,108.83
BZ,D,22/04/22,030000,106.2
BZ,D,24/04/22,030000,105.08
BZ,D,25/04/22,030000,102.63
BZ,D,26/04/22,030000,104.87
BZ,D,27/04/22,030000,104.94
BZ,D,28/04/22,030000,107.12
BZ,D,29/04/22,030000,106.08
BZ,D,01/05/22,030000,106.91
BZ,D,02/05/22,030000,107.64
BZ,D,03/05/22,030000,105.94
BZ,D,04/05/22,030000,110.22
BZ,D,05/05/22,030000,111.06
BZ,D,06/05/22,030000,113.22
BZ,D,08/05/22,030000,111.84
BZ,D,09/05/22,030000,105.25
BZ,D,10/05/22,030000,101.6
BZ,D,11/05/22,030000,107.51
BZ,D,12/05/22,030000,107.92
BZ,D,13/05/22,030000,111.22
BZ,D,15/05/22,030000,112.41
BZ,D,16/05/22,030000,114.03
BZ,D,17/05/22,030000,112.83
BZ,D,18/05/22,030000,109.25
BZ,D,19/05/22,030000,111.5
BZ,D,20/05/22,030000,112.91
BZ,D,22/05/22,030000,112.78
BZ,D,23/05/22,030000,113.47
BZ,D,24/05/22,030000,113.84
BZ,D,25/05/22,030000,114.5
BZ,D,26/05/22,030000,114.46
BZ,D,27/05/22,030000,115.32
BZ,D,29/05/22,030000,116.08
BZ,D,30/05/22,030000,117.7
BZ,D,31/05/22,030000,116.27
BZ,D,01/06/22,030000,115.9
BZ,D,02/06/22,030000,118.29
BZ,D,03/06/22,030000,121.08
BZ,D,05/06/22,030000,121.25
BZ,D,06/06/22,030000,119.99
BZ,D,07/06/22,030000,121
BZ,D,08/06/22,030000,123.94
BZ,D,09/06/22,030000,122.93
BZ,D,10/06/22,030000,121.93
BZ,D,12/06/22,030000,120.18
BZ,D,13/06/22,030000,122.36
BZ,D,14/06/22,030000,121.09
BZ,D,15/06/22,030000,118.98
BZ,D,16/06/22,030000,119.03
BZ,D,17/06/22,030000,113.61
BZ,D,19/06/22,030000,113.95
BZ,D,20/06/22,030000,114.21
BZ,D,21/06/22,030000,114.89
BZ,D,22/06/22,030000,110.03
BZ,D,23/06/22,030000,109.83
BZ,D,24/06/22,030000,113.19
BZ,D,26/06/22,030000,107.97
BZ,D,27/06/22,030000,111.21
BZ,D,28/06/22,030000,114
BZ,D,29/06/22,030000,112.3
BZ,D,30/06/22,030000,109.2
BZ,D,01/07/22,030000,111.48
BZ,D,03/07/22,030000,111.34
BZ,D,04/07/22,030000,113.83
BZ,D,05/07/22,030000,104.8
BZ,D,06/07/22,030000,99.8
BZ,D,07/07/22,030000,104.1
BZ,D,08/07/22,030000,107.15
BZ,D,10/07/22,030000,106.89
BZ,D,11/07/22,030000,106.41
BZ,D,12/07/22,030000,99.22
BZ,D,13/07/22,030000,99.85
BZ,D,14/07/22,030000,99.71
BZ,D,15/07/22,030000,101.13
BZ,D,17/07/22,030000,100.84
BZ,D,18/07/22,030000,105.69
BZ,D,19/07/22,030000,107.27
BZ,D,20/07/22,030000,106.61
BZ,D,21/07/22,030000,103.89
BZ,D,22/07/22,030000,103.61
BZ,D,24/07/22,030000,103.54
BZ,D,25/07/22,030000,104.89
BZ,D,26/07/22,030000,99.72
BZ,D,27/07/22,030000,102.33
BZ,D,28/07/22,030000,102.4
BZ,D,29/07/22,030000,104
BZ,D,31/07/22,030000,103.41
BZ,D,01/08/22,030000,99.93
BZ,D,02/08/22,030000,99.92
BZ,D,03/08/22,030000,97.1
BZ,D,04/08/22,030000,93.6
BZ,D,05/08/22,030000,94.66
BZ,D,07/08/22,030000,93.99
BZ,D,08/08/22,030000,96.52
BZ,D,09/08/22,030000,96.53
BZ,D,10/08/22,030000,97.06
BZ,D,11/08/22,030000,99.42
BZ,D,12/08/22,030000,98.01
BZ,D,14/08/22,030000,97.6
BZ,D,15/08/22,030000,93.47
BZ,D,16/08/22,030000,92.76
BZ,D,17/08/22,030000,93.05
BZ,D,18/08/22,030000,96.58
BZ,D,19/08/22,030000,96.09
BZ,D,21/08/22,030000,95.71
BZ,D,22/08/22,030000,96.69
BZ,D,23/08/22,030000,100.15
BZ,D,24/08/22,030000,101.73
BZ,D,25/08/22,030000,99.83
BZ,D,26/08/22,030000,98.9
BZ,D,28/08/22,030000,98.87
BZ,D,29/08/22,030000,102.95
BZ,D,30/08/22,030000,98.47
BZ,D,31/08/22,030000,94.96
BZ,D,01/09/22,030000,92.17
BZ,D,02/09/22,030000,93.28
BZ,D,04/09/22,030000,94.53
BZ,D,05/09/22,030000,95.23
BZ,D,06/09/22,030000,92.85
BZ,D,07/09/22,030000,87.71
BZ,D,08/09/22,030000,88.61
BZ,D,09/09/22,030000,92.42
BZ,D,11/09/22,030000,92.48
BZ,D,12/09/22,030000,94.26
BZ,D,13/09/22,030000,93.55
BZ,D,14/09/22,030000,94.64
BZ,D,15/09/22,030000,90.8
BZ,D,16/09/22,030000,91.57
BZ,D,18/09/22,030000,91.93
BZ,D,19/09/22,030000,91.73
BZ,D,20/09/22,030000,90.87
BZ,D,21/09/22,030000,90
BZ,D,22/09/22,030000,90.33
BZ,D,23/09/22,030000,86.65
BZ,D,25/09/22,030000,86.89
BZ,D,26/09/22,030000,82.72
BZ,D,27/09/22,030000,84.43
BZ,D,28/09/22,030000,87.93
BZ,D,29/09/22,030000,87.46
BZ,D,30/09/22,030000,85.57
BZ,D,02/10/22,030000,87.95
BZ,D,03/10/22,030000,88.7
BZ,D,04/10/22,030000,91.76
BZ,D,05/10/22,030000,93.79
BZ,D,06/10/22,030000,94.92
BZ,D,07/10/22,030000,98.45
BZ,D,09/10/22,030000,97.92
BZ,D,10/10/22,030000,96.07
BZ,D,11/10/22,030000,93.8
BZ,D,12/10/22,030000,92.41
BZ,D,13/10/22,030000,94.69
BZ,D,14/10/22,030000,91.46
BZ,D,16/10/22,030000,92.33
BZ,D,17/10/22,030000,91.98
BZ,D,18/10/22,030000,90.64
BZ,D,19/10/22,030000,92.57
BZ,D,20/10/22,030000,92.73
BZ,D,21/10/22,030000,93.6
BZ,D,23/10/22,030000,93.74
BZ,D,24/10/22,030000,93.45
BZ,D,25/10/22,030000,93.06
BZ,D,26/10/22,030000,94.15
BZ,D,27/10/22,030000,94.73
BZ,D,28/10/22,030000,94.16
BZ,D,30/10/22,030000,94.19
BZ,D,31/10/22,030000,92.85
BZ,D,01/11/22,030000,94.77
BZ,D,02/11/22,030000,95.52
BZ,D,03/11/22,030000,94.55
BZ,D,04/11/22,030000,98.75
BZ,D,06/11/22,030000,96.86
BZ,D,07/11/22,030000,97.93
BZ,D,08/11/22,030000,95.05
BZ,D,09/11/22,030000,92.47
BZ,D,10/11/22,030000,93.34
BZ,D,11/11/22,030000,95.76
BZ,D,13/11/22,030000,96.81
BZ,D,14/11/22,030000,92.5
BZ,D,15/11/22,030000,93.77
BZ,D,16/11/22,030000,92.61
BZ,D,17/11/22,030000,90.02
BZ,D,18/11/22,030000,87.74
BZ,D,20/11/22,030000,87.76
BZ,D,21/11/22,030000,87.79
BZ,D,22/11/22,030000,88.35
BZ,D,23/11/22,030000,84.65
BZ,D,24/11/22,030000,85.12
BZ,D,25/11/22,030000,83.91
BZ,D,27/11/22,030000,83.44
BZ,D,28/11/22,030000,83.24
BZ,D,29/11/22,030000,84.94
BZ,D,30/11/22,030000,86.64
BZ,D,01/12/22,030000,87.26
BZ,D,02/12/22,030000,85.42
BZ,D,04/12/22,030000,86.89
BZ,D,05/12/22,030000,83
BZ,D,06/12/22,030000,79.72
BZ,D,07/12/22,030000,77.39
BZ,D,08/12/22,030000,76.51
BZ,D,09/12/22,030000,76.82
BZ,D,11/12/22,030000,76.96
BZ,D,12/12/22,030000,78.02
BZ,D,13/12/22,030000,80.89
BZ,D,14/12/22,030000,82.8
BZ,D,15/12/22,030000,81.45
BZ,D,16/12/22,030000,79.26
BZ,D,18/12/22,030000,79.69
BZ,D,19/12/22,030000,80.1
BZ,D,20/12/22,030000,79.68
BZ,D,21/12/22,030000,82.28
BZ,D,22/12/22,030000,81.69
BZ,D,23/12/22,030000,83.97
BZ,D,27/12/22,030000,85.16
BZ,D,28/12/22,030000,83.77
BZ,D,29/12/22,030000,83.73
BZ,D,30/12/22,030000,85.99
BZ,D,02/01/23,030000,85.91
BZ,D,03/01/23,030000,82.46
BZ,D,04/01/23,030000,78.1
BZ,D,05/01/23,030000,78.88
BZ,D,06/01/23,030000,78.6
BZ,D,08/01/23,030000,78.87
BZ,D,09/01/23,030000,79.8
BZ,D,10/01/23,030000,79.62
BZ,D,11/01/23,030000,82.91
BZ,D,12/01/23,030000,83.82
BZ,D,13/01/23,030000,85.43
BZ,D,15/01/23,030000,85.19
BZ,D,16/01/23,030000,84.12
BZ,D,17/01/23,030000,86.7
BZ,D,18/01/23,030000,84.64
BZ,D,19/01/23,030000,86.38
BZ,D,20/01/23,030000,87.66
BZ,D,22/01/23,030000,87.14
BZ,D,23/01/23,030000,88.15
BZ,D,24/01/23,030000,86.42
BZ,D,25/01/23,030000,86.18
BZ,D,26/01/23,030000,87.49
BZ,D,27/01/23,030000,86.21
BZ,D,29/01/23,030000,87.12
BZ,D,30/01/23,030000,84.64
BZ,D,31/01/23,030000,85.53
BZ,D,01/02/23,030000,83.06
