<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
EURUSD,D,24/03/22,030000,1.10083
EURUSD,D,25/03/22,030000,1.0982
EURUSD,D,27/03/22,030000,1.09811
EURUSD,D,28/03/22,030000,1.09904
EURUSD,D,29/03/22,030000,1.1091
EURUSD,D,30/03/22,030000,1.116
EURUSD,D,31/03/22,030000,1.10725
EURUSD,D,01/04/22,030000,1.1047
EURUSD,D,03/04/22,030000,1.1045
EURUSD,D,04/04/22,030000,1.09749
EURUSD,D,05/04/22,030000,1.09057
EURUSD,D,06/04/22,030000,1.0896
EURUSD,D,07/04/22,030000,1.08639
EURUSD,D,08/04/22,030000,1.0875
EURUSD,D,10/04/22,030000,1.08841
EURUSD,D,11/04/22,030000,1.0877
EURUSD,D,12/04/22,030000,1.08257
EURUSD,D,13/04/22,030000,1.08948
EURUSD,D,14/04/22,030000,1.08194
EURUSD,D,15/04/22,030000,1.0805
EURUSD,D,17/04/22,030000,1.08138
EURUSD,D,18/04/22,030000,1.07799
EURUSD,D,19/04/22,030000,1.07939
EURUSD,D,20/04/22,030000,1.08486
EURUSD,D,21/04/22,030000,1.08348
EURUSD,D,22/04/22,030000,1.0794
EURUSD,D,24/04/22,030000,1.08092
EURUSD,D,25/04/22,030000,1.07123
EURUSD,D,26/04/22,030000,1.0641
EURUSD,D,27/04/22,030000,1.05541
EURUSD,D,28/04/22,030000,1.05021
EURUSD,D,29/04/22,030000,1.0541
EURUSD,D,01/05/22,030000,1.05347
EURUSD,D,02/05/22,030000,1.05089
EURUSD,D,03/05/22,030000,1.05248
EURUSD,D,04/05/22,030000,1.06196
EURUSD,D,05/05/22,030000,1.05391
EURUSD,D,06/05/22,030000,1.0551
EURUSD,D,08/05/22,030000,1.05316
EURUSD,D,09/05/22,030000,1.0563
EURUSD,D,10/05/22,030000,1.0529
EURUSD,D,11/05/22,030000,1.05117
EURUSD,D,12/05/22,030000,1.0377
EURUSD,D,13/05/22,030000,1.0412
EURUSD,D,15/05/22,030000,1.03975
EURUSD,D,16/05/22,030000,1.04388
EURUSD,D,17/05/22,030000,1.05477
EURUSD,D,18/05/22,030000,1.04728
EURUSD,D,19/05/22,030000,1.05791
EURUSD,D,20/05/22,030000,1.056
EURUSD,D,22/05/22,030000,1.05681
EURUSD,D,23/05/22,030000,1.06834
EURUSD,D,24/05/22,030000,1.07325
EURUSD,D,25/05/22,030000,1.06866
EURUSD,D,26/05/22,030000,1.07324
EURUSD,D,27/05/22,030000,1.07317
EURUSD,D,29/05/22,030000,1.07289
EURUSD,D,30/05/22,030000,1.07729
EURUSD,D,31/05/22,030000,1.07337
EURUSD,D,01/06/22,030000,1.06509
EURUSD,D,02/06/22,030000,1.07502
EURUSD,D,03/06/22,030000,1.0719
EURUSD,D,05/06/22,030000,1.0725
EURUSD,D,06/06/22,030000,1.0689
EURUSD,D,07/06/22,030000,1.06972
EURUSD,D,08/06/22,030000,1.07162
EURUSD,D,09/06/22,030000,1.0618
EURUSD,D,10/06/22,030000,1.0515
EURUSD,D,12/06/22,030000,1.0489
EURUSD,D,13/06/22,030000,1.04149
EURUSD,D,14/06/22,030000,1.04367
EURUSD,D,15/06/22,030000,1.04571
EURUSD,D,16/06/22,030000,1.05463
EURUSD,D,17/06/22,030000,1.0498
EURUSD,D,19/06/22,030000,1.04897
EURUSD,D,20/06/22,030000,1.0517
EURUSD,D,21/06/22,030000,1.05313
EURUSD,D,22/06/22,030000,1.05638
EURUSD,D,23/06/22,030000,1.05193
EURUSD,D,24/06/22,030000,1.0554
EURUSD,D,26/06/22,030000,1.05663
EURUSD,D,27/06/22,030000,1.05797
EURUSD,D,28/06/22,030000,1.0522
EURUSD,D,29/06/22,030000,1.04457
EURUSD,D,30/06/22,030000,1.04784
EURUSD,D,01/07/22,030000,1.0428
EURUSD,D,03/07/22,030000,1.0432
EURUSD,D,04/07/22,030000,1.04325
EURUSD,D,05/07/22,030000,1.02569
EURUSD,D,06/07/22,030000,1.01841
EURUSD,D,07/07/22,030000,1.01681
EURUSD,D,08/07/22,030000,1.0183
EURUSD,D,10/07/22,030000,1.0166
EURUSD,D,11/07/22,030000,1.00451
EURUSD,D,12/07/22,030000,1.003
EURUSD,D,13/07/22,030000,1.00338
EURUSD,D,14/07/22,030000,1.00265
EURUSD,D,15/07/22,030000,1.00843
EURUSD,D,17/07/22,030000,1.00974
EURUSD,D,18/07/22,030000,1.01461
EURUSD,D,19/07/22,030000,1.02304
EURUSD,D,20/07/22,030000,1.01807
EURUSD,D,21/07/22,030000,1.022
EURUSD,D,22/07/22,030000,1.021
EURUSD,D,24/07/22,030000,1.01992
EURUSD,D,25/07/22,030000,1.02221
EURUSD,D,26/07/22,030000,1.01282
EURUSD,D,27/07/22,030000,1.02051
EURUSD,D,28/07/22,030000,1.01918
EURUSD,D,29/07/22,030000,1.02248
EURUSD,D,31/07/22,030000,1.02102
EURUSD,D,01/08/22,030000,1.0263
EURUSD,D,02/08/22,030000,1.01562
EURUSD,D,03/08/22,030000,1.01562
EURUSD,D,04/08/22,030000,1.0247
EURUSD,D,05/08/22,030000,1.0181
EURUSD,D,07/08/22,030000,1.01712
EURUSD,D,08/08/22,030000,1.0197
EURUSD,D,09/08/22,030000,1.02076
EURUSD,D,10/08/22,030000,1.02984
EURUSD,D,11/08/22,030000,1.03196
EURUSD,D,12/08/22,030000,1.0258
EURUSD,D,14/08/22,030000,1.02531
EURUSD,D,15/08/22,030000,1.0161
EURUSD,D,16/08/22,030000,1.01696
EURUSD,D,17/08/22,030000,1.0176
EURUSD,D,18/08/22,030000,1.00884
EURUSD,D,19/08/22,030000,1.0034
EURUSD,D,21/08/22,030000,1.0036
EURUSD,D,22/08/22,030000,0.9938
EURUSD,D,23/08/22,030000,0.99665
EURUSD,D,24/08/22,030000,0.99679
EURUSD,D,25/08/22,030000,0.9969
EURUSD,D,26/08/22,030000,0.9961
EURUSD,D,28/08/22,030000,0.99358
EURUSD,D,29/08/22,030000,1.00108
EURUSD,D,30/08/22,030000,1.00232
EURUSD,D,31/08/22,030000,1.00378
EURUSD,D,01/09/22,030000,0.99513
EURUSD,D,02/09/22,030000,0.995
EURUSD,D,04/09/22,030000,0.99078
EURUSD,D,05/09/22,030000,0.99503
EURUSD,D,06/09/22,030000,0.98968
EURUSD,D,07/09/22,030000,0.99979
EURUSD,D,08/09/22,030000,1.00095
EURUSD,D,09/09/22,030000,1.0039
EURUSD,D,11/09/22,030000,1.00699
EURUSD,D,12/09/22,030000,1.0129
EURUSD,D,13/09/22,030000,0.99781
EURUSD,D,14/09/22,030000,0.99821
EURUSD,D,15/09/22,030000,0.99872
EURUSD,D,16/09/22,030000,1.0015
EURUSD,D,18/09/22,030000,1.0021
EURUSD,D,19/09/22,030000,1.00299
EURUSD,D,20/09/22,030000,0.99712
EURUSD,D,21/09/22,030000,0.98306
EURUSD,D,22/09/22,030000,0.98383
EURUSD,D,23/09/22,030000,0.969
EURUSD,D,25/09/22,030000,0.96854
EURUSD,D,26/09/22,030000,0.9619
EURUSD,D,27/09/22,030000,0.95951
EURUSD,D,28/09/22,030000,0.97056
EURUSD,D,29/09/22,030000,0.98293
EURUSD,D,30/09/22,030000,0.98003
EURUSD,D,02/10/22,030000,0.97934
EURUSD,D,03/10/22,030000,0.98337
EURUSD,D,04/10/22,030000,0.99834
EURUSD,D,05/10/22,030000,0.99118
EURUSD,D,06/10/22,030000,0.97888
EURUSD,D,07/10/22,030000,0.9741
EURUSD,D,09/10/22,030000,0.9734
EURUSD,D,10/10/22,030000,0.97104
EURUSD,D,11/10/22,030000,0.97001
EURUSD,D,12/10/22,030000,0.97045
EURUSD,D,13/10/22,030000,0.97671
EURUSD,D,14/10/22,030000,0.9719
EURUSD,D,16/10/22,030000,0.97394
EURUSD,D,17/10/22,030000,0.98435
EURUSD,D,18/10/22,030000,0.98627
EURUSD,D,19/10/22,030000,0.9764
EURUSD,D,20/10/22,030000,0.97778
EURUSD,D,21/10/22,030000,0.9861
EURUSD,D,23/10/22,030000,0.98593
EURUSD,D,24/10/22,030000,0.98839
EURUSD,D,25/10/22,030000,0.99617
EURUSD,D,26/10/22,030000,1.00929
EURUSD,D,27/10/22,030000,0.99666
EURUSD,D,28/10/22,030000,0.9963
EURUSD,D,30/10/22,030000,0.99541
EURUSD,D,31/10/22,030000,0.98854
EURUSD,D,01/11/22,030000,0.98769
EURUSD,D,02/11/22,030000,0.98136
EURUSD,D,03/11/22,030000,0.97488
EURUSD,D,04/11/22,030000,0.99581
EURUSD,D,06/11/22,030000,0.99284
EURUSD,D,07/11/22,030000,1.00173
EURUSD,D,08/11/22,030000,1.00799
EURUSD,D,09/11/22,030000,1.0019
EURUSD,D,10/11/22,030000,1.01917
EURUSD,D,11/11/22,030000,1.03538
EURUSD,D,13/11/22,030000,1.03266
EURUSD,D,14/11/22,030000,1.03197
EURUSD,D,15/11/22,030000,1.03573
EURUSD,D,16/11/22,030000,1.0393
EURUSD,D,17/11/22,030000,1.03604
EURUSD,D,18/11/22,030000,1.0324
EURUSD,D,20/11/22,030000,1.03304
EURUSD,D,21/11/22,030000,1.02449
EURUSD,D,22/11/22,030000,1.0309
EURUSD,D,23/11/22,030000,1.04177
EURUSD,D,24/11/22,030000,1.0407
EURUSD,D,25/11/22,030000,1.0395
EURUSD,D,27/11/22,030000,1.03667
EURUSD,D,28/11/22,030000,1.03431
EURUSD,D,29/11/22,030000,1.03234
EURUSD,D,30/11/22,030000,1.04232
EURUSD,D,01/12/22,030000,1.0528
EURUSD,D,02/12/22,030000,1.05315
EURUSD,D,04/12/22,030000,1.05427
EURUSD,D,05/12/22,030000,1.04956
EURUSD,D,06/12/22,030000,1.0467
EURUSD,D,07/12/22,030000,1.05111
EURUSD,D,08/12/22,030000,1.05551
EURUSD,D,09/12/22,030000,1.053
EURUSD,D,11/12/22,030000,1.05203
EURUSD,D,12/12/22,030000,1.05412
EURUSD,D,13/12/22,030000,1.06241
EURUSD,D,14/12/22,030000,1.06757
EURUSD,D,15/12/22,030000,1.06387
EURUSD,D,16/12/22,030000,1.0584
EURUSD,D,18/12/22,030000,1.0584
EURUSD,D,19/12/22,030000,1.06117
EURUSD,D,20/12/22,030000,1.06247
EURUSD,D,21/12/22,030000,1.06074
EURUSD,D,22/12/22,030000,1.06007
EURUSD,D,23/12/22,030000,1.06172
EURUSD,D,25/12/22,030000,1.06191
EURUSD,D,26/12/22,030000,1.06397
EURUSD,D,27/12/22,030000,1.06365
EURUSD,D,28/12/22,030000,1.0628
EURUSD,D,29/12/22,030000,1.066
EURUSD,D,30/12/22,030000,1.0702
EURUSD,D,01/01/23,030000,1.0703
EURUSD,D,02/01/23,030000,1.06766
EURUSD,D,03/01/23,030000,1.05451
EURUSD,D,04/01/23,030000,1.06055
EURUSD,D,05/01/23,030000,1.05204
EURUSD,D,06/01/23,030000,1.06413
EURUSD,D,08/01/23,030000,1.06619
EURUSD,D,09/01/23,030000,1.0732
EURUSD,D,10/01/23,030000,1.07385
EURUSD,D,11/01/23,030000,1.07654
EURUSD,D,12/01/23,030000,1.0859
EURUSD,D,13/01/23,030000,1.08319
EURUSD,D,15/01/23,030000,1.08222
EURUSD,D,16/01/23,030000,1.08298
EURUSD,D,17/01/23,030000,1.07892
EURUSD,D,18/01/23,030000,1.07969
EURUSD,D,19/01/23,030000,1.08331
EURUSD,D,20/01/23,030000,1.0855
EURUSD,D,22/01/23,030000,1.08638
EURUSD,D,23/01/23,030000,1.0871
EURUSD,D,24/01/23,030000,1.0889
EURUSD,D,25/01/23,030000,1.09206
EURUSD,D,26/01/23,030000,1.0893
EURUSD,D,27/01/23,030000,1.08649
EURUSD,D,29/01/23,030000,1.08715
EURUSD,D,30/01/23,030000,1.08492
EURUSD,D,31/01/23,030000,1.08607
EURUSD,D,01/02/23,030000,1.10122
EURUSD,D,02/02/23,030000,1.09043
EURUSD,D,03/02/23,030000,1.0793
EURUSD,D,05/02/23,030000,1.0789
EURUSD,D,06/02/23,030000,1.0729
EURUSD,D,07/02/23,030000,1.07299
EURUSD,D,08/02/23,030000,1.07151
